"Date","Time (GMT)","Wind Speed (kn)","Wind Dir (deg)","Wind Gust (kn)","Air Temp (°F)","Baro (mb)","Humidity (%)","Visibility (nm)"
"2012/10/28","00:00","6.22","83","9.14","59.9","1013.6","-","-"
"2012/10/28","00:06","6.61","82","8.94","60.1","1013.5","-","-"
"2012/10/28","00:12","6.8","79","9.14","59.9","1013.3","-","-"
"2012/10/28","00:18","6.03","81","8.16","60.1","1013.3","-","-"
"2012/10/28","00:24","7.19","83","9.33","60.1","1013.3","-","-"
"2012/10/28","00:30","7","80","10.89","60.1","1013.3","-","-"
"2012/10/28","00:36","7.58","83","10.89","59.9","1013.1","-","-"
"2012/10/28","00:42","8.75","82","10.89","59.9","1013","-","-"
"2012/10/28","00:48","7.58","80","10.69","59.9","1013","-","-"
"2012/10/28","00:54","6.8","79","9.14","59.9","1013","-","-"
"2012/10/28","01:00","7.58","78","9.52","59.7","1012.9","-","-"
"2012/10/28","01:06","5.83","72","8.16","59.7","1013","-","-"
"2012/10/28","01:12","6.61","73","10.5","59.9","1012.9","-","-"
"2012/10/28","01:18","8.16","77","10.89","60.3","1012.8","-","-"
"2012/10/28","01:24","6.22","65","9.91","60.4","1012.8","-","-"
"2012/10/28","01:30","5.64","70","8.16","60.3","1012.7","-","-"
"2012/10/28","01:36","6.22","57","9.33","60.4","1012.9","-","-"
"2012/10/28","01:42","6.61","53","11.08","60.3","1012.9","-","-"
"2012/10/28","01:48","6.22","57","8.75","60.1","1012.8","-","-"
"2012/10/28","01:54","6.03","75","7.97","60.3","1012.8","-","-"
"2012/10/28","02:00","7","57","11.47","60.3","1012.9","-","-"
"2012/10/28","02:06","7.97","60","11.66","60.3","1012.7","-","-"
"2012/10/28","02:12","7.39","61","10.69","60.4","1012.8","-","-"
"2012/10/28","02:18","6.41","58","9.52","60.3","1012.6","-","-"
"2012/10/28","02:24","6.61","52","10.3","60.1","1012.7","-","-"
"2012/10/28","02:30","8.94","62","14.97","60.3","1012.6","-","-"
"2012/10/28","02:36","7","69","10.5","60.3","1012.4","-","-"
"2012/10/28","02:42","9.91","76","13.41","60.4","1012.6","-","-"
"2012/10/28","02:48","6.22","67","11.66","60.3","1012.7","-","-"
"2012/10/28","02:54","7.19","64","9.52","59.9","1012.6","-","-"
"2012/10/28","03:00","7.78","62","10.5","59.9","1012.5","-","-"
"2012/10/28","03:06","6.41","63","9.72","59.9","1012.4","-","-"
"2012/10/28","03:12","6.41","58","10.5","59.7","1012.4","-","-"
"2012/10/28","03:18","6.61","64","11.27","59.9","1012.2","-","-"
"2012/10/28","03:24","6.03","65","8.36","59.9","1012.2","-","-"
"2012/10/28","03:30","7.19","44","11.66","59.9","1012.2","-","-"
"2012/10/28","03:36","8.16","59","12.05","60.1","1011.8","-","-"
"2012/10/28","03:42","8.16","59","13.61","60.1","1012.1","-","-"
"2012/10/28","03:48","6.8","54","11.08","60.1","1012.1","-","-"
"2012/10/28","03:54","6.61","54","9.72","60.1","1012","-","-"
"2012/10/28","04:00","6.8","56","10.5","59.9","1012","-","-"
"2012/10/28","04:06","5.64","53","8.36","59.9","1012.1","-","-"
"2012/10/28","04:12","5.44","49","8.55","59.9","1012.2","-","-"
"2012/10/28","04:18","7","50","9.91","59.9","1012.2","-","-"
"2012/10/28","04:24","7.97","42","12.44","59.9","1012","-","-"
"2012/10/28","04:30","7.97","51","11.47","59.9","1011.7","-","-"
"2012/10/28","04:36","7.97","62","11.66","59.9","1011.7","-","-"
"2012/10/28","04:42","7.58","50","11.86","59.9","1011.9","-","-"
"2012/10/28","04:48","7.19","50","10.11","59.9","1011.8","-","-"
"2012/10/28","04:54","7.19","51","10.5","59.9","1011.7","-","-"
"2012/10/28","05:00","8.94","58","13.41","59.9","1011.6","-","-"
"2012/10/28","05:06","7.19","62","10.11","59.9","1011.6","-","-"
"2012/10/28","05:12","8.75","70","14.38","60.3","1011.5","-","-"
"2012/10/28","05:18","8.36","63","11.66","60.3","1011.5","-","-"
"2012/10/28","05:24","9.33","62","13.02","60.4","1011.4","-","-"
"2012/10/28","05:30","7.39","60","10.89","60.3","1011.5","-","-"
"2012/10/28","05:36","8.94","67","13.22","60.3","1011.5","-","-"
"2012/10/28","05:42","9.91","66","14.38","60.3","1011.5","-","-"
"2012/10/28","05:48","8.94","76","12.05","60.3","1011.3","-","-"
"2012/10/28","05:54","10.11","62","15.94","60.3","1011.4","-","-"
"2012/10/28","06:00","11.86","62","18.27","60.3","1011.4","-","-"
"2012/10/28","06:06","9.91","64","15.94","60.1","1011.3","-","-"
"2012/10/28","06:12","9.72","64","14.38","60.1","1011.2","-","-"
"2012/10/28","06:18","10.11","71","15.55","60.1","1011.3","-","-"
"2012/10/28","06:24","9.91","72","14","60.1","1011.4","-","-"
"2012/10/28","06:30","11.47","76","18.66","60.3","1011.4","-","-"
"2012/10/28","06:36","11.47","80","15.94","60.1","1011.5","-","-"
"2012/10/28","06:42","11.08","76","17.69","60.1","1011.6","-","-"
"2012/10/28","06:48","11.47","78","16.13","59.9","1011.4","-","-"
"2012/10/28","06:54","11.27","76","15.75","59.9","1011.3","-","-"
"2012/10/28","07:00","11.86","75","15.55","59.9","1011.3","-","-"
"2012/10/28","07:06","11.47","71","17.49","59.9","1011.4","-","-"
"2012/10/28","07:12","9.52","70","15.94","59.7","1011.2","-","-"
"2012/10/28","07:18","11.08","73","17.11","59.7","1011.1","-","-"
"2012/10/28","07:24","9.14","68","16.13","59.5","1011.2","-","-"
"2012/10/28","07:30","9.33","76","12.63","59.5","1011","-","-"
"2012/10/28","07:36","10.5","66","14.97","59.4","1011","-","-"
"2012/10/28","07:42","10.69","71","15.94","59.4","1010.9","-","-"
"2012/10/28","07:48","11.86","62","20.8","59.4","1010.8","-","-"
"2012/10/28","07:54","10.69","57","17.3","59.4","1010.5","-","-"
"2012/10/28","08:00","11.47","67","16.33","59.4","1010.5","-","-"
"2012/10/28","08:06","7.19","66","12.83","59.4","1010.5","-","-"
"2012/10/28","08:12","8.55","66","13.41","59.2","1010.8","-","-"
"2012/10/28","08:18","10.11","62","16.91","59.2","1010.8","-","-"
"2012/10/28","08:24","8.75","55","14.77","59","1010.8","-","-"
"2012/10/28","08:30","12.05","61","18.08","59","1010.7","-","-"
"2012/10/28","08:36","7.58","71","13.02","59","1010.8","-","-"
"2012/10/28","08:42","10.69","75","14.58","59","1010.9","-","-"
"2012/10/28","08:48","11.27","57","17.11","59","1011.1","-","-"
"2012/10/28","08:54","8.94","70","13.61","59","1010.8","-","-"
"2012/10/28","09:00","9.33","67","14.77","58.8","1010.8","-","-"
"2012/10/28","09:06","9.91","64","16.13","58.8","1010.8","-","-"
"2012/10/28","09:12","9.33","64","13.61","58.8","1010.8","-","-"
"2012/10/28","09:18","11.86","62","16.33","58.8","1010.8","-","-"
